Date,v.speed,u.speed
10/11/1949,7.790001813,6.070001852
10/12/1949,9.170001782,7.690001816
10/13/1949,-3.739997929,3.220001915
10/14/1949,-2.489997957,9.520001775
10/15/1949,4.390001889,6.000001853
10/16/1949,12.35000171,-5.91999788
10/17/1949,10.42000175,0.870001968
10/18/1949,13.95000168,3.720001904
10/19/1949,2.420001933,10.24000176
10/20/1949,-2.489997957,8.82000179
10/21/1949,8.490001798,0.750001971
10/22/1949,9.070001785,-4.809997905
10/23/1949,1.140001962,-1.719997974
10/24/1949,2.970001921,-2.989997946
10/25/1949,2.340001935,-6.81999786
10/26/1949,-6.559997866,1.920001945
10/27/1949,-7.919997836,4.900001878
10/28/1949,-3.039997945,1.790001947
10/29/1949,-3.789997928,1.99E-06
10/30/1949,-6.36999787,2.790001925
10/31/1949,-6.959997857,0.220001983
11/1/1949,-8.109997831,0.300001981
11/2/1949,-4.639997909,3.220001915
11/3/1949,5.000001876,-0.349998005
11/4/1949,10.17000176,-8.769997817
11/5/1949,0.520001976,3.700001905
11/6/1949,4.770001881,7.900001811
11/7/1949,6.320001846,1.750001948
11/8/1949,-5.389997892,16.07000163
11/9/1949,-5.209997896,8.090001807
11/10/1949,-9.889997791,7.690001816
11/11/1949,-2.869997948,3.00000192
11/12/1949,5.650001861,1.820001947
11/13/1949,5.550001863,9.790001769
11/14/1949,-5.539997889,9.070001785
11/15/1949,-2.189997964,3.140001917
11/16/1949,10.42000175,-1.88999797
11/17/1949,5.72000186,4.520001886
11/18/1949,-6.689997863,0.32000198
11/19/1949,3.620001907,-4.509997912
11/20/1949,7.770001814,-5.819997882
11/21/1949,0.620001974,3.02000192
11/22/1949,8.160001805,2.050001942
11/23/1949,2.470001932,-0.809997994
11/24/1949,6.340001846,-5.789997883
11/25/1949,-3.669997931,-11.88999775
11/26/1949,-4.469997913,-0.789997995
11/27/1949,-6.869997859,2.820001924
11/28/1949,-1.719997974,5.69000186
11/29/1949,-3.589997932,0.570001975
11/30/1949,-10.96999777,1.650001951
